signal_message_id,symbol,pair,update_id,reply_to_message_id,categories,severity,likely_real_outcome,likely_false_positive,target_hits_found,profit_percent_values,update_text,signal_text
5549,HBAR,USDT,5550,5549.0,generic_risk_warning,low,False,True,[],[],"Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially","Coin: #HBAR/USDT

Short Set-Up 

Leverage: 5-10x

#HBAR already breaked down the symmetrical triangle and looking bearish.

Entry: 0.275 - 0.285$(Enter partially)

Targets: 0.266 - 0.260 - 0.254 - 0.248 - 0.235 - 0.222 - 0.210$(Short-mid term)

Stop-loss: 0.295$"
5549,HBAR,USDT,5589,,possible_new_signal_or_setup,low,False,True,[],[],"$HBAR/USDT Update (4H Chart)

HBAR is breaking out of the Bull Flag, suggesting a potential bullish reversal! If momentum holds, we could see significant upward movement.

🔹 Resistance Targets:.......

Read more on X 👇

https://x.com/wsqofficial/status/1882772115067404731?t=uk--4P7taLIqzV4ZwiCMJQ&s=19","Coin: #HBAR/USDT

Short Set-Up 

Leverage: 5-10x

#HBAR already breaked down the symmetrical triangle and looking bearish.

Entry: 0.275 - 0.285$(Enter partially)

Targets: 0.266 - 0.260 - 0.254 - 0.248 - 0.235 - 0.222 - 0.210$(Short-mid term)

Stop-loss: 0.295$"
5586,BNB,USDT,5587,5586.0,generic_risk_warning,low,False,True,[],[],"Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially","Coin: #BNB/USDT

Long Set-Up 

Leverage: 5-10x

#BNB looking Bullish after break out🔥

Entry: 695 - 684$(Buy partially)

Targets: 710 - 724 - 740 - 756 - 776 - 800$(Short term)

Stop-loss: 668$"
5586,BNB,USDT,5597,,analysis_post | possible_new_signal_or_setup,low,False,True,[],[],"#BNB/USDT Analysis:

BNB is consolidating within a symmetrical triangle, signaling a potential breakout soon. Both bullish and bearish scenarios are in play, so keep an eye on it!

🎯 Breakout Targets:
🔼 Bullish:

Target 1: $740

Target 2: $760

Target 3: $800

🔽 Bearish:

Target 1: $660

Target 2: $620

Wait for confirmation of a breakout✔️","Coin: #BNB/USDT

Long Set-Up 

Leverage: 5-10x

#BNB looking Bullish after break out🔥

Entry: 695 - 684$(Buy partially)

Targets: 710 - 724 - 740 - 756 - 776 - 800$(Short term)

Stop-loss: 668$"
5590,DYDX,USDT,5591,5590.0,generic_risk_warning,low,False,True,[],[],"Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially","Coin: #DYDX/USDT

Long Set-Up 

Leverage: 5-10x

#DYDX already breaked out the Symmetrical traingle and looking Bullish.

Entry: 1.185 - 1.160$(Buy partially)

Targets: 1.220 - 1.250 - 1.280 - 1.310 - 1.370 - 1.450$(Short-mid term)

Stop-loss: 1.140$"
5599,KSM,USDT,5600,5599.0,generic_risk_warning,low,False,True,[],[],"Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially","Coin: #KSM/USDT

Long Set-Up 

Leverage: 5-10x

#KSM already breaked out the Symmetrical traingle and looking Bullish.

Entry: 27.9 - 27.6$(Buy partially)

Targets: 28.6 - 29.2 - 29.8 - 30.4 - 31.6 - 33$(Short term)

Stop-loss: 27.2$"
5599,KSM,USDT,5605,5599.0,stop_loss_after_target_hit | explicit_target_hit | profit_booked | profit_percentage_only,high,True,False,[1],['30'],"Stop Loss hit after Target 1 hit✅

30% Profits booked with 10x Leverage","Coin: #KSM/USDT

Long Set-Up 

Leverage: 5-10x

#KSM already breaked out the Symmetrical traingle and looking Bullish.

Entry: 27.9 - 27.6$(Buy partially)

Targets: 28.6 - 29.2 - 29.8 - 30.4 - 31.6 - 33$(Short term)

Stop-loss: 27.2$"
5601,INJ,USDT,5602,5601.0,generic_risk_warning,low,False,True,[],[],"Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially","Coin: #INJ/USDT

Long Set-Up 

Leverage: 5-10x

#INJ already breaked out the Symmetrical traingle and looking Bullish.

Entry: 21.180 - 20.900$(Buy partially)

Targets: 21.600 - 22.100 - 22.600 - 23.200 - 24.100 - 25.000$(Short term)

Stop-loss: 20.700$"
5626,XMR,USDT,5627,5626.0,profit_percentage_only | stop_loss_only,medium,True,False,[],[],"#XMR/USDT:

Stop-loss hit

-30% with 10x leverage","Coin: #XMR/USDT

Long Set-Up 

Leverage: 5-10x

#XMR already breaked out the inverse Cup and handle pattern and looking Bullish.

Entry: 239.4 - 232.5$(Buy partially)

Targets: 246 - 252 - 258 - 264 - 278 - 290 - 300$(Short term)

Stop-loss: 225$"
5639,APT,USDT,5640,5639.0,generic_risk_warning,low,False,True,[],[],"Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially","Coin: #APT/USDT

Long Set-Up 

Leverage: 5-10x

#APT already breaked out the Falling wedge pattern and looking Bullish.

Entry: 5.98 - 5.85$(Buy partially)

Targets: 6.10 - 6.25 - 6.40 - 6.55 - 6.90$(Short term)

Stop-loss: 5.70$"
5639,APT,USDT,5641,5639.0,unclassified_related,low,False,False,[],[],Close this position,"Coin: #APT/USDT

Long Set-Up 

Leverage: 5-10x

#APT already breaked out the Falling wedge pattern and looking Bullish.

Entry: 5.98 - 5.85$(Buy partially)

Targets: 6.10 - 6.25 - 6.40 - 6.55 - 6.90$(Short term)

Stop-loss: 5.70$"
5646,BAL,USDT,5647,5646.0,generic_risk_warning,low,False,True,[],[],"Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially","Coin: #BAL/USDT

Long Set-Up 

Leverage: 5-10x

#BAL already breaked out the Symmetrical traingle and looking Bullish.

Entry: 1.94 - 1.90$(Buy partially)

Targets: 2.00 - 2.04 - 2.08 - 2.14 - 2.22 - 2.30$(Short term)

Stop-loss: 1.86$"
5667,EGLD,USDT,5668,5667.0,generic_risk_warning,low,False,True,[],[],"Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),  book profits Partially","Coin: #EGLD/USDT

Long Set-Up 

Leverage: 5-10x

#EGLD already breaked out the Falling wedge pattern and looking Bullish.

Entry: 23.88 - 22.40$(Buy partially)

Targets: 24.40 - 25 - 25.6 - 26.2 - 27.5 - 29 - 30.5 - 32$(Short-mid term)

Stop-loss: 21.00$"
