message_id,symbol,pair,signal_text,suspicious_update_count,suspicious_update_ids,suspicious_update_texts
5549,HBAR,USDT,"Coin: #HBAR/USDT

Short Set-Up 

Leverage: 5-10x

#HBAR already breaked down the symmetrical triangle and looking bearish.

Entry: 0.275 - 0.285$(Enter partially)

Targets: 0.266 - 0.260 - 0.254 - 0.248 - 0.235 - 0.222 - 0.210$(Short-mid term)

Stop-loss: 0.295$",1,[5550],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5586,BNB,USDT,"Coin: #BNB/USDT

Long Set-Up 

Leverage: 5-10x

#BNB looking Bullish after break out🔥

Entry: 695 - 684$(Buy partially)

Targets: 710 - 724 - 740 - 756 - 776 - 800$(Short term)

Stop-loss: 668$",2,"[5587, 5597]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", '#BNB/USDT Analysis:\n\nBNB is consolidating within a symmetrical triangle, signaling a potential breakout soon. Both bullish and bearish scenarios are in play, so keep an eye on it!\n\n🎯 Breakout Targets:\n🔼 Bullish:\n\nTarget 1: $740\n\nTarget 2: $760\n\nTarget 3: $800\n\n🔽 Bearish:\n\nTarget 1: $660\n\nTarget 2: $620\n\nWait for confirmation of a breakout✔️']"
5590,DYDX,USDT,"Coin: #DYDX/USDT

Long Set-Up 

Leverage: 5-10x

#DYDX already breaked out the Symmetrical traingle and looking Bullish.

Entry: 1.185 - 1.160$(Buy partially)

Targets: 1.220 - 1.250 - 1.280 - 1.310 - 1.370 - 1.450$(Short-mid term)

Stop-loss: 1.140$",1,[5591],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5599,KSM,USDT,"Coin: #KSM/USDT

Long Set-Up 

Leverage: 5-10x

#KSM already breaked out the Symmetrical traingle and looking Bullish.

Entry: 27.9 - 27.6$(Buy partially)

Targets: 28.6 - 29.2 - 29.8 - 30.4 - 31.6 - 33$(Short term)

Stop-loss: 27.2$",2,"[5600, 5605]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", 'Stop Loss hit after Target 1 hit✅\n\n30% Profits booked with 10x Leverage']"
5601,INJ,USDT,"Coin: #INJ/USDT

Long Set-Up 

Leverage: 5-10x

#INJ already breaked out the Symmetrical traingle and looking Bullish.

Entry: 21.180 - 20.900$(Buy partially)

Targets: 21.600 - 22.100 - 22.600 - 23.200 - 24.100 - 25.000$(Short term)

Stop-loss: 20.700$",1,[5602],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5626,XMR,USDT,"Coin: #XMR/USDT

Long Set-Up 

Leverage: 5-10x

#XMR already breaked out the inverse Cup and handle pattern and looking Bullish.

Entry: 239.4 - 232.5$(Buy partially)

Targets: 246 - 252 - 258 - 264 - 278 - 290 - 300$(Short term)

Stop-loss: 225$",0,[],[]
5639,APT,USDT,"Coin: #APT/USDT

Long Set-Up 

Leverage: 5-10x

#APT already breaked out the Falling wedge pattern and looking Bullish.

Entry: 5.98 - 5.85$(Buy partially)

Targets: 6.10 - 6.25 - 6.40 - 6.55 - 6.90$(Short term)

Stop-loss: 5.70$",1,[5640],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5646,BAL,USDT,"Coin: #BAL/USDT

Long Set-Up 

Leverage: 5-10x

#BAL already breaked out the Symmetrical traingle and looking Bullish.

Entry: 1.94 - 1.90$(Buy partially)

Targets: 2.00 - 2.04 - 2.08 - 2.14 - 2.22 - 2.30$(Short term)

Stop-loss: 1.86$",1,[5647],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5667,EGLD,USDT,"Coin: #EGLD/USDT

Long Set-Up 

Leverage: 5-10x

#EGLD already breaked out the Falling wedge pattern and looking Bullish.

Entry: 23.88 - 22.40$(Buy partially)

Targets: 24.40 - 25 - 25.6 - 26.2 - 27.5 - 29 - 30.5 - 32$(Short-mid term)

Stop-loss: 21.00$",1,[5668],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5690,NEAR,USDT,"Coin: #NEAR/USDT

Long Set-Up 

Leverage: 5-10x

#NEAR already breaked out the inverse cup and handle pattern and looking Bullish.

Entry: 3.255 - 3.180$(Buy partially)

Targets: 3.340 - 3.420 - 3.500 - 3.580 - 3.750 - 3.880 - 4.000$(Short term)

Stop-loss: 3.100$",2,"[5691, 5697]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", '#NEAR/USDT UPDATE:\n\nTargets 1,2,3 done nicely✔️\n\nSo far 100% Profits with 10x leverage🤑\n\nEnjoy the profits Guys🍾🍾']"
5701,GMT,USDT,"Coin: #GMT/USDT

Long Set-Up 

Leverage: 5-10x

#GMT already breaked out the Symmetrical traingle and looking Bullish.

Entry: 0.0637 - 0.0620$(Buy partially)

Targets: 0.0655 - 0.0670 - 0.0685 - 0.0700 - 0.0730 - 0.0755 - 0.0780$(Short term)

Stop-loss: 0.0605$",0,[],[]
5705,BCH,USDT,"Coin: #BCH/USDT

Long Set-Up 

Leverage: 5-10x

#BCH already breaked out the Falling wedge pattern and looking Bullish.

Entry: 391.2 - 360$(Buy partially)

Targets: 402.5 - 412.5 - 422.5 - 432 - 456 - 477 - 500$(Short-mid term)

Stop-loss: 330$",1,[5706],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5750,AAVE,USDT,"Coin: #AAVE/USDT

Long Set-Up 

Leverage: 5-10x

#AAVE already breaked out the Falling wedge pattern and looking Bullish.

Entry: 192.85 - 184$(Buy partially)

Targets: 198 - 202 - 208 - 214 - 226 - 238 - 249 - 260$(Short-mid term)

Stop-loss: 172$",1,[5751],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5754,LTC,USDT,"Coin: #LTC/USDT

Long Set-Up 

Leverage: 5-10x

#LTC already breaked out the Ascending triangle and looking Bullish.

Entry: 95.04 - 94$(Buy partially)

Targets: 97 - 99 - 101 - 103.5 - 108 - 112$(Short term)

Stop-loss: 93$",1,[5755],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
